0.472	0.021	32.84	0.01
0.490	0.021	34.41	0.01
0.501	0.021	34.88	0.01
0.554	0.023	38.83	0.01
0.592	0.024	41.06	0.01
0.625	0.025	43.7	0.01
0.660	0.026	45.55	0.01
0.673	0.026	47.23	0.01
0.700	0.027	48.36	0.01
0.728	0.027	50.462	0.01
0.762	0.028	52.688	0.001
0.799	0.029	55.279	0.001
0.819	0.029	56.681	0.001
0.861	0.030	59.989	0.001
0.914	0.032	63.069	0.001
0.974	0.034	67.749	0.001
1.042	0.035	72.438	0.001
