fmeas	func	Ameas	Auc
54.956	0.001	0.649	0.03
57.32	0.001	0.674	0.031
59.432	0.001	0.699	0.031
63.759	0.001	0.746	0.033
65.387	0.001	0.761	0.033
67.436	0.001	0.789	0.034
69.374	0.001	0.821	0.034
70.806	0.001	0.83	0.035
71.396	0.001	0.846	0.035
73.473	0.001	0.862	0.036
74.877	0.001	0.874	0.036
80.306	0.001	0.939	0.037
82.329	0.001	0.972	0.038
84.471	0.001	0.991	0.039
